narrative,sentiment,confidence,key_phrases,category,urgent
"After XXXX Bank/XXXX, their attorney XXXX and XXXX Court Dispositions in my favor clearly : 1. acknowledge the account is the same as is listed on my file 2. linked them, the account, the court case a",negative,0.86,"XXXX Court Dispositions, court case, same entry, credit profile, SEVERAL times, several occassions, direct upload, certified mail, NEGATIVE CHARGE, court documents, XXXX Bank/XXXX, attorney XXXX, Equifax STILL, CREDIT FILE, favor, account, amount, address, parties, verification, attach",Billing,False
"XXXX ( parent company, Sterling XXXX Company ) is reporting information on you consumer file that is inaccurate and surpass its statue of limitations governed by the FCRA and the FTC. This company is ",negative,0.98,"XXXX TWENTY SIX, Sterling XXXX Company, consumer file, New York, clear violations, parent company, name match, false information, statue, limitations, FCRA, FTC, falsified, employer, database, State, abuse, FRCA",Other,False
THIS IS NOT MY ACCOUNT XXXX XXXX,negative,0.94,ACCOUNT XXXX XXXX,Other,False
"XXXX XXXX The following account above does not belong to me, and it stopping me from getting a job.",negative,0.54,"XXXX XXXX, following account, job",Other,False
I disputed inquires that was not made by me however i have not heard back from them.,negative,1.0,inquires,Other,False
"I do not have ANY LOANS WITH XXXX. 
yet Transunion keeps updating my credit report with the same inaccurate information. XXXX negative accounts I am NOT 120 days late on any loan through XXXX. Contact",negative,0.99,"FEDERAL LOAN HISTORY WEBSITE, same inaccurate information, past due balance, XXXX negative accounts, current balance, credit report, LOANS, Transunion, phone, record",Credit Reporting,False
I have received XXXX credit reports from Equifax during the last year. Each report has shown a different credit score give n to me and to the bank. One score given to me from Equifax on XX/XX/XXXX was,negative,0.92,"low er score, different credit score, XXXX credit reports, credit agencies, last year, One score, double standard, several loans, y years, XX/XX/XXXX Equifax, XX/XX/XXXX., bank, discrepancy, play, reason",Credit Reporting,False
I 've initiated several disputes with Transunion over the last year for erroneous accounts that are not mine. I '' ve followed every step they 've outlined and that your site has told me to do. Still ,mixed,0.65,"Consumer financial protection bureau, unknown medical collections, credit bureau, several disputes, last year, several occasions, credit reports, erroneous accounts, vacuum cleaner, Transunion, step, site, issues, money, creditors, family, documents, accounts/collections, XXXX, info, system, debt, place, resolution, children, work",Credit Reporting,False
"On XXXX XXXX, 2015, I disputed XXXX judgements on my credit file with Equifax , case numbers XXXX, XXXX and XXXX, all XXXX judgements came back as verified by the XXXX County Court. I have proof from ",negative,0.86,"case numbers XXXX, XXXX County Court, court system, credit file, numerous disputes, legal procedings, XXXX XXXX, XXXX judgements, Equifax report, proof, errors, view, documents, doucments, copies, mail",Other,False
"The following account is back on my credit report after Equifax deleted the account on my credit report on XXXX XXXX, 2016 : Account : XXXX XXXX This account do not belong to me. Review Equifax Confir",negative,0.58,"Equifax Confirmation Number, credit report, XXXX XXXX, following account, Review",Credit Reporting,False
Accurate background check list me having lived in States that I have never lived in including a State I 've never been to.,neutral,0.82,"Accurate background check list, States",Other,False
"I have XXXX credit card that I use, it is a XXXX XXXX XXXX cash rewards credit card. There are XXXX or XXXX other cards that I do not own on that credit report for credit karma, and it is making my cr",negative,1.0,"XXXX XXXX XXXX cash rewards credit card, XXXX credit card, XXXX other cards, credit report, credit karma, credit score",Credit Reporting,False
"I have been contacting Equifax for my Annual Credit Report and they refuse to send it to me by saying that their record indicate that they have already sent my credit report for this year, but I have ",mixed,0.66,"Annual Credit Report, free credit report, XXXX XXXX, equifax system, record, year, problem, question, today",Credit Reporting,False
